Borehole,Lat,long,Town,pH,EC,TDS,NO3,Cl,SO4,TA,TH,Ca,Mg,Na,K,Fe,WQI,Iron
BH1,5.036889,6.405972,Igbogene 1,6.12,406,203,0.36,39,1.4,26,25,22.4,6.35,10.86,4.2,0.16,42.1216181,0.6
BH2,5.01975,6.398167,Yenagwe1,6.3,715,356,0.165,15,0.8,15,45,8.5,2.48,4,1.46,0.14,53.98172031,0.14
BH3,5.016722,6.396528,Yenagwe 2,6.38,857,430,0.335,21,1.67,17,18,13.7,3,6.5,1.55,0.24,62.89770334,0.4
BH4,5.002366,6.387691,Akenfa 1,6.1,782,391,0.175,14,0.86,19,37,8.85,2.5,4.85,0.76,0.12,55.40595753,0.37
BH5,4.957417,6.35375,Etegwe 1,5.99,164,82,0.165,14,0.82,3,35,8.6,2.76,4.54,1.2,0.08,22.86374269,0.38
BH6,4.94325,6.324806,Biogbolo 1,5.93,175,84,0.094,16,0.48,5,32,9,2.85,5.2,1.4,0.13,24.76845452,0.3
BH7,4.908472,6.337083,Kpansia 1,5.6,763,383,0.085,14,0.45,16,30,7.4,2.38,4.74,1.2,0.18,55.18412497,0.15
BH8,4.929167,6.300806,Ekeki 1,6.69,1156,578,0.096,22,0.5,15,46,12.48,3.62,5.8,1.8,0.17,78.65419883,0.35
BH9,4.917722,6.317583,Kpansia 1,6.14,269,135,0.348,34,1.75,16,101,20,5.65,9.95,4,0.2,42.97825035,0.14
BH10,4.91175,6.305972,Yenizue Epie 1,6.74,1652,826,0.42,47,2.1,15,45,27.86,7.5,13.58,4.65,0.13,108.1452058,0.36
BH11,4.925861,6.275583,Amarata 1,6.05,422,211,0.204,37,0.96,18,91,21.48,6.2,9.84,2.62,0.18,48.18565142,0.16
BH12,4.916,6.2755,Swail 1,6.87,722,361,0.49,23,2.45,9,33,16.74,4.4,7.6,2.5,0.28,60.54938805,0.36
BH13,4.917028,6.251222,Ogbogoro 1,6.43,928,464,0.078,16,0.39,18,27,9.2,2.58,5.4,1.8,0.06,61.17732854,0.26
BH14,4.903722,6.251222,Ogu 1,6.2,160,80,0.162,24,0.8,12,56,14.56,3.8,6,2.26,0.12,28.05512813,0.12
